,caseid,community,match_rate
697,1250176147,0,1.0
698,1247687985,8,1.0
699,1236986449,14,1.0
700,1241182059,1,1.0
701,1246278991,4,1.0
702,1237645995,7,1.0
703,1244764459,2,1.0
704,1240113749,10,1.0
705,1235705013,5,1.0
706,1249717017,9,0.9
707,1232534203,11,1.0
708,1235880379,10,0.9
709,1239994543,6,1.0
710,1237122207,15,1.0
711,1239675007,10,1.0
712,1245255215,13,0.9
713,1240674057,9,1.0
714,1237427051,5,1.0
715,1245174693,11,1.0
716,1249693949,5,0.9
717,1238770661,1,1.0
718,1238911291,15,1.0
719,1237798239,14,0.9
720,1236890509,0,0.9
721,1242524651,8,1.0
722,1251663485,2,1.0
723,1236624457,7,1.0
724,1242699317,0,1.0
725,1244779965,3,1.0
726,1239318761,9,
727,1243893695,3,1.0
728,1232721911,4,1.0
729,1240651337,13,0.9
730,1234796785,0,1.0
731,1235680021,9,1.0
732,1237621599,9,1.0
733,1242500387,13,1.0
734,1243415667,7,1.0
735,1236313829,5,1.0
736,1242698661,0,1.0
737,1249939543,2,1.0
738,1237471859,7,1.0
739,1244697873,7,1.0
740,1239391929,12,1.0
741,1238854365,6,1.0
742,1239704357,1,0.9
743,1240323009,7,1.0
744,1236664599,5,1.0
745,1237694523,5,1.0
746,1250610871,4,0.9
747,1237695831,1,1.0
748,1237121253,4,
749,1238210975,6,1.0
750,1237833997,3,1.0
751,1256186829,1,0.9
752,1237067337,7,1.0
753,1236922245,4,1.0
754,1244744573,6,1.0
755,1235879677,5,1.0
756,1240237203,5,1.0
757,1235889221,10,1.0
758,1240376371,1,1.0
759,1235338743,10,1.0
760,1242805373,8,1.0
761,1238335049,0,1.0
762,1238243955,5,1.0
763,1242479013,15,1.0
764,1243550577,14,1.0
765,1244592881,12,0.8
766,1238336737,10,1.0
767,1239247283,12,1.0
768,1237604155,2,1.0
769,1236263597,11,1.0
770,1237522701,1,1.0
771,1237460585,0,0.8
772,1239712055,5,1.0
773,1239155855,7,1.0
774,1247686181,9,1.0
775,1241893075,12,1.0
776,1241918585,2,1.0
777,1242984255,13,1.0
778,1237160981,7,1.0
779,1237490789,13,1.0
780,1237798319,12,0.8
781,1240031699,2,0.9
782,1237598187,9,0.9
783,1236624883,13,1.0
784,1245012877,12,1.0
785,1244608947,7,1.0
786,1238138095,10,1.0
787,1238171923,12,0.9
788,1238461865,3,1.0
789,1257248595,5,1.0
790,1236780587,0,1.0
791,1241175673,0,1.0
792,1240022989,0,1.0
793,1237963611,12,1.0
794,1239161955,4,1.0
795,1242858985,11,1.0
796,1237024805,8,1.0
797,1240404525,1,1.0
798,1238868205,0,1.0
799,1235704303,6,1.0
800,1236896023,10,0.8
801,1235465973,14,1.0
802,1238729841,11,1.0
803,1237498169,6,1.0
804,1235822051,5,1.0
805,1241153075,7,1.0
806,1236815317,3,1.0
807,1235538837,0,1.0
808,1237372349,12,1.0
809,1234690611,4,1.0
810,1240459691,11,1.0
811,1239631109,6,0.9
812,1243909607,15,1.0
813,1239677417,0,1.0
814,1245274147,8,1.0
815,1239526155,4,1.0
816,1240600215,0,0.9
817,1240854905,11,1.0
818,1239113447,3,1.0
819,1237205129,11,1.0
820,1238341131,4,1.0
821,1235595559,14,1.0
822,1232518079,8,1.0
823,1236625835,10,0.9
824,1232945643,8,1.0
825,1236570665,1,0.9
826,1239965863,10,1.0
827,1237647677,6,1.0
828,1238030703,13,1.0
829,1236262677,6,1.0
830,1238906527,6,1.0
831,1242481695,0,1.0
832,1232469189,2,0.9
833,1236946993,1,0.9
834,1239082875,7,1.0
835,1238672515,0,0.9
836,1236710403,5,1.0
837,1240488371,2,1.0
838,1240702439,13,1.0
839,1239555671,5,1.0
840,1251663221,11,1.0
841,1237496469,1,1.0
842,1239115019,3,0.9
843,1238213287,13,
844,1238386939,11,1.0
845,1239082799,8,1.0
846,1240378945,5,1.0
847,1242548217,9,1.0
848,1235380119,10,0.9
849,1240378915,2,1.0
850,1239677451,7,1.0
851,1239149707,5,1.0
852,1246280145,3,1.0
853,1238391387,5,1.0
854,1236953303,13,1.0
855,1240350073,11,1.0
856,1241042705,2,1.0
857,1236811849,1,1.0
858,1237644703,14,1.0
859,1237165843,9,1.0
860,1242299897,4,1.0
861,1253305355,1,1.0
862,1241181463,14,1.0
863,1257248407,7,1.0
864,1241153311,13,0.9
865,1243021563,10,0.9
866,1236505375,5,1.0
867,1239526687,0,0.9
868,1239677961,7,1.0
869,1237533877,7,1.0
870,1238966881,11,1.0
871,1237847419,9,1.0
872,1239899431,2,1.0
873,1236952855,15,1.0
874,1244711557,8,1.0
875,1236922831,5,1.0
876,1235023871,12,1.0
877,1236783431,6,1.0
878,1245041537,3,1.0
879,1251665857,13,0.9
880,1236987373,9,1.0
881,1238800161,1,1.0
882,1239706073,11,1.0
883,1245041739,14,1.0
884,1236802951,0,1.0
885,1236890765,0,1.0
886,1237430471,10,
887,1237120955,13,1.0
888,1237528051,13,1.0
889,1236921647,12,1.0
890,1235540613,13,1.0
891,1239551523,11,1.0
892,1235648309,14,1.0
893,1255814097,9,1.0
